Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
1984	George Orwell	1	1	5	4	8	https://www.goodreads.com/book/show/40961427-1984?from_search=true&from_srp=true&qid=SUlUBOOl7U&rank=1	Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.
Zbor deasupra unui cuib de cuci	Ken Kesey	4	1	8	3	4	https://www.goodreads.com/book/show/20661126-zbor-deasupra-unui-cuib-de-cuci?from_search=true&from_srp=true&qid=I8SsfTsRgK&rank=1	Zbor deasupra unui cuib de cuci, romanul care a lăsat urme de neșters în literatura contemporană, este povestea zguduitoare a paciențlor dintr-un ospiciu condus cu mână de fier de sora-șefă Ratched, adepta unor metode de tratament barbare, precum electroșocurile și lobotomia. Singurul care i se opune este scandalagiul Randle Patrick McMurphy, simbolul revoltei împotriva autorității tiranice. Prin ochii altui pacient, șeful Bromden, un indian uriaș, asistăm la încleștarea dintre cei doi, care capătă proporții aproape mitologice.
Ciuleandra	Liviu Rebreanu	5	5	5	2	4	https://www.goodreads.com/book/show/6527702-ciuleandra?from_search=true&from_srp=true&qid=3GV9VsDFk0&rank=1	Deși a fost în general bine primit imediat după apariție de critica de întâmpinare în exercițiu (au scris favorabil Perpessicius, N. Davidescu, M. Ralea), romanul Ciuleandra (1927) nu a fost creditat ca o narațiune de performanță, la nivelul capodoperelor unui scriitor consacrat prin Ion (1920) și Pădurea spânzuraților (1922). Criticii (în mod special Pompiliu Constantinescu) i-au reproșat fie superficialitatea analizei psihologice, fie intriga senzațională, fie artificiozitatea conflictului melodramatic. Autorul însuși a mărturisit în jurnal ușurința cu care a scris micul roman într-o perioadă de tatonare și mobilizare a eforturilor de construcție pentru Răscoala. Transcrierea finală a romanului, în august 1927, a avut totuși dificultățile ei, datorită îndoielilor autorului, suspiciunii că narațiunea suferă de artificialitate: "Parcă e ceva livresc în viața pe care o trăiesc figurile"-notează scriitorul în jurnal la data de 8 august 1927 (v. Opere 17, p. 6). Printr-o excepție de la credința rebreniană statornică în arta majoră serioasă, animată de o semnificație morală clară, Ciuleandra "ar fi o demonstrație a artei privită ca simplu joc: nu vrea să propovăduiască și nici să-ți lase vreun învățământ. Nu vrea decât să amuze în sensul larg al cuvântului"(ibidem, p. 6). Autorul nu-și abandonează însă romanul sub umbrela nesatisfăcătoare a ideii de joc, adică de "operă de artă prea pură sau prea sintetică", pentru că l-ar destina astfel categoriei minore de simple "experiențe de laborator". Liviu Rebreanu își explicitează în jurnal adevărata investiție de semnificație: "Ciuleandra asta, pentru mine e o operă în care se exprimă și se clarifică o taină sufletească mare, e cazul, des repetat, al iubirii până la crimă..."(Opere 17, p. 7). Orgolios, după apariția cărții nu agrea opiniile critice care nu o tratau cu încredere și cu suficientă seriozitate.
Sfaturile unui diavol bătrân către unul mai tânăr	C.S. Lewis	7	4	1	1	5	https://www.goodreads.com/book/show/55241542-sfaturile-unui-diavol-b-tr-n-c-tre-unul-mai-t-n-r?from_search=true&from_srp=true&qid=YxAWZrkBpA&rank=1	Despre viaţa unui om angajat religios se vorbeşte de obicei din perspectiva înaltă, din perspectiva reperelor lui morale şi spirituale. C.S. Lewis, distins universitar englez, e un creştin dotat cu realism şi umor; el alege cealaltă perspectivă: cum se vede viaţa unui om din unghiul diavolului care îl are în grijă, care trebuie să îl achiziţioneze drept hrană pentru infern? Cartea joacă pe competenţa psihologică a diavolilor, pe priceperea de a folosi măruntele noastre slăbiciuni de fiecare zi, suficiente pentru a ne face deseori surzi la glasul Celuilalt. Cu toate astea, la capătul cărţii şi al unei vieţi duse cu onestitate şi cu atenţie spirituală, eroul anonim îl întâlneşte, discret şi simplu, pe Celălalt.
Scrisori către Lucilius de Seneca	Seneca	3	6	2	1	8	https://www.goodreads.com/book/show/55881038-scrisori-c-tre-luciliu?from_search=true&from_srp=true&qid=CAVZo4hQiQ&rank=2	„Nici retrasă vieţuire filozofică, mângâiere comodă a unui spirit mandarin, nici viaţă politică numai, pentru care idealul este vană podoabă, ci zbatere dramatică între forma supremă a omului, înţeleptul stoic, ce ridică pe om la măsura zeilor, și tristele împrejurări ale vremii neroniene, ce-i împovărau conștiinţa târâtă în abjecţia unei epoci fără seamăn. La aceasta, intuiţia vie că trăiește un sfârșit de lume, încercarea de salvare a bunului suprem, valoarea morală, presimţirea lumii noi ce se năștea, tonul «creștin» al atâtor idei. Seneca este primul om modern.“ — GHEORGHE GUŢU 
Frații Karamazov	Fyodor Dostoevsky	3	5	3	6	4	https://www.goodreads.com/book/show/15830415-fra-ii-karamazov?from_search=true&from_srp=true&qid=0ugQzCC5pH&rank=1	Frații Karamazov, cel din urmă și cel mai complex roman al lui Dostoievski, este în același timp povestea scrisă magistral a unui paricid și o meditație filosofică asupra întrebărilor esențiale ale umanității: existența lui Dumnezeu, liberul-arbitru, natura colectivă a vinei și consecințele dezastruoase ale raționalismului. Întruchipând patru ipostaze fundamentale ale individului, frații Karamazov au, fiecare, motive bine întemeiate, deși de naturi diferite, să-și ucidă tatăl. Moșierul Fiodor Pavlovici Karamazov, care duce o viață amorală și desfrânată. Moartea neașteptată a acestuia aruncă suspiciuni asupra tuturor celor patru frați și dă naștere la numeroase teorii, Dostoievski exploatând cu o abilitate remarcabilă filonul polițist al poveștii, ce creează un suspans capabil să susțină întreagă structură românească.
Ada sau Ardoarea	Vladimir Nabokov	9	4	1	5	1	https://www.goodreads.com/book/show/17287363-ada-sau-ardoarea-o-cronica-de-familie?from_search=true&from_srp=true&qid=7hCXstKBSH&rank=1	„Publicata la doua saptamani dupa ce autorul implinise saptezeci de ani, Ada sau ardoarea este capodopera lui Nabokov, incununarea glorioasa a carierei sale de romancier. Deopotriva basm, epopee, tratat filosofic despre esenta timpului si catalog erotic, Ada sau ardoarea este creatia suprema a unei imaginatii incandescente.“ Publishers Weekly
Metro 2033	Dmitry Glukhovsky	1	3	10	7	3	https://www.goodreads.com/book/show/17274667-metro-2033?from_search=true&from_srp=true&qid=DxuMorcUth&rank=1	Artyom, a young man living in VDNKh, is given the task of penetrating to the heart of the Metro, to the legendary Polis, to alert everyone to the awful danger and to get help. He holds the future of his native station in his hands, the whole Metro - and maybe the whole of humanity.
Teama Înțeleptului	Patrick Rothfuss	8	4	1	10	1	https://www.goodreads.com/book/show/20323629-teama-n-eleptului?from_search=true&from_srp=true&qid=238HMy8H8Y&rank=1	Kvothe e în continuare în căutarea răspunsurilor care să îi dezvăluie adevărul despre misteriosul popor Amyr, despre chandrieni și despre moartea părinților săi. Dar drumul către adevăr este presărat cu primejdii, iar Kvothe trebuie să se confrunte cu legendarii mercenary Adem, să încerce să repare onoarea familiei sale și să călătorească în regatul Fae. Acolo o va întâlni pe Felurian, o femeie zână căreia nu-i poate rezista sau supraviețui nici un bărbat...Kvothe face primii pași în drumul sau eroic și află cât de grea poate să fie viața când ajungi sa fii considerat o legendă vie.
Spre far	Virginia Woolf	10	7	1	3	3	https://www.goodreads.com/book/show/7715018-spre-far?from_search=true&from_srp=true&qid=upZllEmVgC&rank=1	The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women. As time winds its way through their lives, the Ramsays face, alone and simultaneously, the greatest of human challenges and its greatest triumph—the human capacity for change.
Muntele vrăjit	Thomas Mann	1	7	7	1	4	https://www.goodreads.com/book/show/7937441-muntele-vr-jit?from_search=true&from_srp=true&qid=k6KDlgHJUV&rank=2	În acest roman, Thomas Mann descrie societatea europeană înainte de Primul Război Mondial - o lume bolnavă care se năpusteşte spre catastrofă. "Ce v-aş putea spune despre această carte şi despre felul în care ar trebui ea citită? Cred că modul deosebit în care este construită compoziţia ei face ca plăcerea lecturii să fie mai mare şi mai profundă când o citeşti a doua oară - aşa cum şi muzica trebuie să-ţi fie cunoscută ca s-o poţi savura cu adevărat." (Thomas Mann)
Ring	Koji Suzuki	1	1	8	10	2	https://www.goodreads.com/book/show/38379.Ring?ac=1&from_search=true&qid=2tO7Cr52zy&rank=1	A mysterious videotape warns that the viewer will die in one week unless a certain, unspecified act is performed. Exactly one week after watching the tape, four teenagers die one after another of heart failure. Asakawa, a hardworking journalist, is intrigued by his niece's inexplicable death. His investigation leads him from a metropolitan tokyo teeming with modern society's fears to a rural Japan--a mountain resort, a volcanic island, and a countryside clinic--haunted by the past. His attempt to solve the tape's mystery before it's too late--for everyone--assumes an increasingly deadly urgency. Ring is a chillingly told horror story, a masterfully suspenseful mystery, and post-modern trip.
Harry Potter and the Sorcerer's Stone	J.K. Rowling	7	5	3	7	1	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone?from_search=true&from_srp=true&qid=hruxl9WvjC&rank=2	Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.  Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.
Tales of Terror and Detection	Edgar Allan Poe	1	8	10	3	1	https://www.goodreads.com/book/show/58869821-tales-of-terror-and-detection?ac=1&from_search=true&qid=6F4646OlKG&rank=5	Edgar Allan Poe (1809–1849) holds a unique place in American literature. Famous as a poet, he also penned short stories that are masterpieces of terror and suspense, infused with the horror and dread he knew from his feverish dreams and persistent fears of death. Fortunately for lovers of mystery, Poe was attracted by logic and analysis as well as fantasy. Fascinated by the narrative possibilities of tracking the perpetrator of a crime, he invented the modern detective story. This superb collection of five stories reveals Poe's virtuoso gifts for both crime fiction and the macabre. Two of his most famous tales, "The Mystery of Marie Roget" and "The Purloined Letter," recount the exploits of C. Auguste Dupin, the first important fictional detective. "William Wilson" is a chilling tale of crime and evil. The two remaining stories, "MS. Found in a Bottle" and "The Oblong Box," subtly but relentlessly convey a sense of unease, then dread, then outright terror.
Sufletul neînlănțuit	Michael A. Singer	4	7	1	1	7	https://carturesti.ro/carte/sufletul-neinlantuit-o-calatorie-dincolo-de-frontierele-eului-limitat-193694?2pau=6667b3e19&2pdlst=Cj0KCQjwvqeUBhCBARIsAOdt45a2InkTf39AetVKMBWtA4sTP8ONsJXnIOgcVLQSclbOBm1lez04U4MaApKIEALw_wcB&2ptt=quicklink&2ptu=07b5f0fed&gclid=Cj0KCQjwvqeUBhCBARIsAOdt45a2InkTf39AetVKMBWtA4sTP8ONsJXnIOgcVLQSclbOBm1lez04U4MaApKIEALw_wcB	Cine eşti tu cu adevărat? Cum te-ai simţi dacă ai fi eliberat de orice limitare şi dacă te-ai putea dilata în afara hotarelor tale? Ce poţi face zi de zi pentru a descoperi această pace şi această libertate interioară? Sufletul neînlănţuit îţi oferă răspunsuri simple, profunde şi intuitive la aceste întrebări. Indiferent dacă este prima ta explorare a spaţiului interior sau dacă ţi-ai dedicat întreaga viaţă călătoriei spirituale, această carte te va ajuta să îţi transformi relaţia cu tine însuţi, dar şi lumea din jurul tău. Sufletul neînlănţuit începe prin a-ţi explica relaţia pe care o ai cu gândurile şi cu emoţiile tale, ajutându-te să descoperi sursa şi fluctuaţiile energiei tale interioare. În continuare, cartea îţi prezintă ce poţi face pentru a te elibera de gândurile, emoţiile şi tiparele energetice obişnuite, care îţi limitează conştiinţa. În final, ea îţi arată cu o claritate neobişnuită calea către o viaţă trăită într-o libertate deplină a fiinţei tale lăuntrice.
The Help	Kathryn Stockett	10	4	3	1	4	https://www.goodreads.com/book/show/4667024-the-help?from_search=true&from_srp=true&qid=RVTetwHmIM&rank=1	Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone. Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken. Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own. Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.
Pe aripele vântului	Margaret Mitchell	7	3	5	5	1	https://www.goodreads.com/book/show/17372458-pe-aripile-v-ntului?from_search=true&from_srp=true&qid=QnSzfzayKa&rank=1	Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.
Torente	Marie-Anne Desmarest	10	5	1	3	1	https://www.goodreads.com/book/show/18723137-torente-vol-i?from_search=true&from_srp=true&qid=nkzWaMlzeE&rank=2	Primele 2 volume (așa cum au apărut ele în ediția originală) îl au ca erou pe doctorul Jan Yvarsen, prototipul frumuseții fizice și morale, în jurul căruia plutește o aură de romantism.
Talida	Ion Grecea	7	2	9	2	1	https://www.goodreads.com/book/show/2455582.Talida?from_search=true&from_srp=true&qid=GlPKD0iamX&rank=1	"Talida" e o carte care te va tine cu sufletul la gură de la început până la sfârșitul poveștii. Un roman care ,,respira'' sentimente.
Ion	Liviu Rebreanu	5	4	6	1	2	https://www.goodreads.com/book/show/778255.Ion?from_search=true&from_srp=true&qid=qGIk6RlUs4&rank=1	„Ion“ este o monografie a realităţilor satului ardelean de la începutul secolului al XX-lea, ilustrând conflictul generat de lupta pentru pământ, într-o lume în care statutul social este stabilit în funcţie de avere. În acest context, calea aleasă de protagonist pentru a scăpa de sărăcie este căsătoria cu o fată bogată, Ana. Florica, femeia pe care o iubeşte de fapt, se va căsători, la rândul ei, cu George pentru pentru aceleaşi argumente, iar Laura, fiica învăţătorului Herdelea îl va lua pe Pintea nu din dragoste, ci pentru că nu cere zestre.
Calarețul Fără Cap	Thomas Mayne Reid	4	3	2	10	1	https://www.goodreads.com/book/show/14741171-calaretul-fara-cap?ac=1&from_search=true&qid=sn6c9lJBwq&rank=1	The legend of the headless horseman is one that has roots in a number of different countries and cultures, dating back much farther than Washington Irving&#8217;s well-known tale. Captain Mayne Reid&#8217;s tale, published nearly forty years later, is based on a well-known Texas folk tale. Set in nineteenth-century Texas, The Headless Horseman tells the story of Louise Poindexter, who is a newcomer to town. Courted by Cassius Calhoun and Maurice Gerald, Louise finds that her life takes a turn when her brother, Henry Poindexter, is found murdered. The tale twists further when it is reported that a headless horseman has been seen on the Poindexter plantation. In this classic tale, Mayne Reid takes readers on an incredible journey to discover the killer of Henry Poindexter and solve the mystery of the Headless Horseman.
Crimă și pedeapsă	Fyodor Dostoevsky	5	6	4	5	2	https://www.goodreads.com/book/show/10312886-crim-i-pedeaps?from_search=true&from_srp=true&qid=G2VzddBvdq&rank=1	Etalon al romanului dostoievskian, Crima si pedeapsa nu are nevoie de vreo recomandare speciala din partea criticului, el se recomanda singur ca o capodopera a literaturii ruse si universale, receptata ca atare pretutindeni, alaturi de Don Quijote, Hamlet, Faust, Rosu si Negru, Razboi si pace, Madame Bovary. Prin problematica pe care o intruchipeaza, Raskolnikov a devenit arhetipul intelectualului inzestrat, protestatar ispitit de teoria supraomului, instrainat, in sensul modern al cuvantului, dar mai ales al celui care, savarsind o crima, isi asuma, pana la urma, si pedeapsa-ispasire. Romanul - de o expresie artistica magistrala, captivanta prin suspansul actiunii, ca si prin mixajul de real, fantastic si exceptional - prezinta starea (conditia) tragica a lumii, prin care se intrezareste totusi lumina, poate chiar lumina vechiului vis de aur al omenirii. Mai putem crede, azi, macar atat cat a crezut si Dostoievski?
Cenușă și țărînă	Viktor Remizov	3	8	3	5	3	https://www.goodreads.com/book/show/28115415-cenu-i-r-n?from_search=true&from_srp=true&qid=NZMKLdUV4q&rank=1	Marginea de est a Siberiei, un capat de lume unde oamenii, majoritatea vinatori sau pescari, continua si astazi sa-si duca traiul in armonie cu ritmurile naturii nemiloase, prea putin imblinzite. Un incident marunt, supralicitat de un militian zelos, face sa rabufneasca abuzurile si coruptia, amenintind obiceiurile si libertatea interioara a localnicilor. In timp ce altii discuta, filosofeaza la caldura focului sau fac planuri revolutionare, unul dintre ei, in semn de revolta, fuge si se ascunde in taiga. Desfasurarea violenta de forte care urmeaza va zgudui viata pasnica a satului siberian. Un roman al prezentului, definit de „vesnicele intrebari“ cu care ne-a obisnuit literatura rusa, cu personaje vii si complexe, in buna traditie a romanului realist, dar si cu pagini profund lirice despre oameni si natura care-i modeleaza. Cenușă și țărînă creioneaza cu subtilitate, vigilenta si caldura un portret al Rusiei de azi.
Flori pentru Algernon	Daniel Keyes	2	1	9	1	5	https://www.goodreads.com/book/show/18050379-flori-pentru-algernon?ac=1&from_search=true&qid=Vw3QU0vSFk&rank=1	The story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. In diary entries, Charlie tells how a brain operation increases his IQ and changes his life. As the experimental procedure takes effect, Charlie's intelligence expands until it surpasses that of the doctors who engineered his metamorphosis. The experiment seems to be a scientific breakthrough of paramount importance until Algernon begins his sudden, unexpected deterioration. Will the same happen to Charlie?
Padurea spânzuraților	Liviu Rebreanu	1	3	10	2	4	https://www.goodreads.com/book/show/778267.P_durea_sp_nzura_ilor?from_search=true&from_srp=true&qid=coHXgfCTaG&rank=1	«Ceea ce constituie în Pădurea spânzuraţilor un „act de dezertare", ar fi apreciat, după 50 de ani, ca un „fapt de mutilare", iar documentul de acuzare ar învinui statul, adică aici monarhia bicefală austro-ungară, de opresiune morală şi psihologică asupra propriilor cetăţeni. Bineînţeles că situaţia explicită ficţional din Pădurea Spânzuraţilor poate avea în realitate diferite distribuţii şi orice om, fie el rus, maghiar, austriac ori german, cetăţean al altui stat, pus să lupte împotriva statului naţional al ruşilor, maghiarilor, austriecilor ori germanilor ar trece prin aceleaşi destrucţii psiho­logice şi frustrări de identitate naţională, ca până la urmă să asculte de glasul sângelui şi să treacă la ai săi.» (Aureliu GOCI)
Marele singuratic	Marin Preda	7	3	7	1	2	https://www.goodreads.com/book/show/16046904-marele-singuratic?from_search=true&from_srp=true&qid=OUm5L6fkVi&rank=1	Recitesc după mai mult de 30 de ani de la apariţie Marele singuratic şi ce constat? Că lectura merge, întâi, greu şi că, atunci când vine vorba de lumea satului, verva naratorului creşte subit şi stilul epic capătă fluenţă. Stilul redevine meticulos, puţin împiedicat îndată ce prozatorul face analiza unui sentiment complex: iubirea dintre un însingurat încăpăţânat şi bănuitor (horticultorul Niculae Moromete) şi o pictoriţă inteligentă şi puţin sofisticată (Simina Golea), trecută printr-o căsnicie nefericită (cu brutalul Victor Pătraşcu), obsedată de talentul ei nesigur. Roman autobiografic? Întrebat, prozatorul evită să dea un răspuns. Un roman, oricum, în care eroii din Moromeţii îşi dau, parcă, o întâlnire de adio într-un epilog în care au loc iubiri profunde şi nefericite, gelozii şi crime dostoievskiene, comentarii morale acute şi pertinente şi analize bune, verosimile, de ordin existenţial. Este domeniul şi stilul în care Preda a excelat totdeauna… - EUGEN SIMION
Cartea Mironei	Cella Serghi	10	4	2	2	2	https://www.goodreads.com/book/show/4530953-cartea-mironei?from_search=true&from_srp=true&qid=Ljz11wgz40&rank=1	„La capătul lecturii acestui roman, scris cu vervă și cu sensibilitate feminină, cititorul va rămâne cu imaginea unei epoci istorice tulburate de mari prefaceri, în care o fată idealistă își caută drumul, crezând cu încăpățânare în destinul ei de scriitoare. Narator și personaj în același timp, ea trăiește deopotrivă în realitatea Bucureștiului și a Parisului din anii celui de-al Doilea Război Mondial, cât și în ficțiune, alături de fascinanta și misterioasa bunică Fana.“ (Elena Zaharia-Filipaș)
Marile Speranțe	Charles Dickens	2	4	4	3	5	https://www.goodreads.com/book/show/22710492-marile-speran-e?from_search=true&from_srp=true&qid=4YzNz1GnQs&rank=2	Istoria senzationalei vieti a lui Pip constituia, pentru Dickens, un argument pentru a demonstra modul in care, intr-o lume unde banul era idolatrizat, unde valoarea era calculata in functie de acest etalon, averea altera sensibilitatile cele mai pure. [...] Descoperirea treptata a valorilor existentei, de-a lungul experientelor sale, face din Pip unul dintre cei mai complecsi eroi dickensieni si din Marile sperante romanul cel mai solid construit dintre toate cartile de succes ale lui Charles Dickens. O opera unde diversele etape ale "marilor sperante" traite de Pip capata un profund inteles autobiografic, pentru ca, urmarind cu atentie povestea rostita de erou, deslusim vibratii ale glasului lui Dickens, amintindu-si propriile intamplari si sperante. Dan Grigorescu 
Horror short stories	Darcy Coates	1	5	10	3	1	https://www.goodreads.com/book/show/23734258-the-mannequin?from_search=true&from_srp=true&qid=z6E86SJzbK&rank=8	When Mark agrees to rent the basement, he knows it has problems. It's dark, has no mobile reception, and is cluttered with storage boxes. But it's cheap, and there's no lease – which is perfect for a student who's been kicked out by his ex-girlfriend. Well, nearly perfect. There's a mannequin hidden behind some old boxes that gives him the creeps. Sometimes it throws its dust cloth off. Sometimes he feels it watching him when his back is turned. And sometimes it moves while he's asleep... The Mannequin is a chilling half-hour story, perfect for a quick read late at night.
Artemis	Andy Weir	1	3	5	9	2	https://www.goodreads.com/book/show/34928122-artemis?ac=1&from_search=true&qid=7Z9wq9akQe&rank=2	Jazz Bashara is a criminal. Well, sort of. Life on Artemis, the first and only city on the moon, is tough if you're not a rich tourist or an eccentric billionaire. So smuggling in the occasional harmless bit of contraband barely counts, right? Not when you've got debts to pay and your job as a porter barely covers the rent. Everything changes when Jazz sees the chance to commit the perfect crime, with a reward too lucrative to turn down. But pulling off the impossible is just the start of her problems, as she learns that she's stepped square into a conspiracy for control of Artemis itself—and that now, her only chance at survival lies in a gambit even riskier than the first.
A Game of thrones	George R.R. Martin	5	3	5	10	1	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones?from_search=true&from_srp=true&qid=o15oAoqyzk&rank=1	Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.
Un veac de singurătate	Gabriel García Márquez	5	4	4	2	5	https://www.goodreads.com/book/show/25415157-un-veac-de-singur-tate?ac=1&from_search=true&qid=jHokYZDGrX&rank=1	"Un veac de singurătate", capodopera care l-a propulsat pe Gabriel García Márquez pe orbita celebrităţii internaţionale şi i-a adus premiul Nobel (1982), este, în opinia unanimă a criticii - după Don Quijote de la Mancha, nemuritoarea creaţie a lui Cervantes -, cel mai frumos roman de expresie spaniolă din toate timpurile, aşa cum mărturiseşte şi Pablo Neruda care îl numeşte "Don Quijote al timpului nostru". Istoria celor o sută de ani ai fabuloasei aventuri trăite de cele şapte generaţii ale familiei Buendía, cu fanteziile, obsesiile, tragediile, pasiunile, disperările şi speranţele lor, este de fapt istoria miticului Macondo, întemeiat de patriarhul José Arcadio Buendía, teritoriu prodigios, unde fantasticul, irealul, se insinuează adesea în realitate, miraculosul convieţuind firesc cu viaţa de zi cu zi. însă întregul demers narativ sugerează ideea că Macondo nu se mărgineşte la o arie concretă, istoria sa fiind de fapt istoria existenţei umane, căci, aşa cum arată autorul, "mai curând decât un loc de pe lume, Macondo este o stare de spirit"
